,author,author_email,id,isopen,license_id,license_title,license_url,maintainer,maintainer_email,metadata_created,metadata_modified,name,notes,num_resources,num_tags,owner_org,private,revision_id,state,title,type,url,version
10,Shanghai Jaio Tong University and Southeast University,,b0d680c2-2733-4aef-ac80-be7684acd875,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,,,2011-10-28T19:52:19.148078,2015-12-17T13:36:51.751764,zhishi-me,"Structured data extracted and integrated from three major web-based Chinese-language encyclopaedias:

* [Chinese Wikipedia](http://zh.wikipedia.org/)
* [Hudong Baike](http://www.hudong.com/)
* [Baidu Baike](http://baike.baidu.com/)

Each page is available in an RDF version. There is a SPARQL endpoint (although it only returns HTML, no machine-readable data, at the moment).

[An ISWC2011 paper](iswc2011.semanticweb.org/fileadmin/iswc/Papers/In-Use/70320209.pdf) describes technical aspects of the project in detail.",2,6,6f55eae0-5b24-4cf5-a4e2-e5d70ea9e881,False,3a759531-39f2-42b9-9785-bc58bd2e9c7c,active,Zhishi.me,dataset,http://zhishi.me,
11,Víctor Rodríguez-Doncel,vrodriguez@delicias.dia.fi.upm.es,11d67b88-bed3-4016-b88b-3b8fdf77ba20,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Víctor Rodríguez-Doncel,vrodriguez@delicias.dia.fi.upm.es,2015-12-16T13:46:32.319771,2015-12-16T14:11:17.261351,copyrighttermbank,Terminology on copyright and related concepts,5,9,449873a1-c92e-4942-9843-b79b1053211b,False,1edbdd32-9995-42eb-a58f-f2310b69a461,active,CopyrightTermBank,dataset,,
12,IBI Group,lfurlong@imim.es,989133b2-75c8-417d-a63b-0c269b89f2aa,True,odc-odbl,Open Data Commons Open Database License (ODbL),http://www.opendefinition.org/licenses/odc-odbl,Nuria Queralt Rosinach,nqueralt@imim.es,2014-06-26T17:29:37.843914,2015-11-30T20:18:22.223444,disgenet,"Linked Data version of DisGeNET, which is a Resource Description Framework (RDF) representation of the DisGeNET database, integrating gene-disease associations from a variety of authoritative sources on human genetics and text mining. The current version (3.0) publishes a network of 14619 diseases and 17181 genes linked by 429111 gene-disease associations. Given the large number of gene-disease associations compiled in DisGeNET, a score has been developed in order to rank the associations based on the supporting evidence. The Linked Data version of DisGeNET is an alternative way to access DisGeNET and provides new opportunities for data integration, querying and crossing DisGeNET data with other external RDF datasets.

web: http://rdf.disgenet.org/",7,32,58e898ce-6bda-4b69-a96a-52798ef2f93b,False,15aa10d0-aaed-4b96-bcd5-2d1e1ada3f49,active,DisGeNET,dataset,,
13,Aliada Consortium,info@aliada-project.eu,27454939-3f7e-498b-bd60-aa04e11520b6,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2015-09-07T12:55:23.999819,2015-11-12T09:13:02.835052,aliada-scanbit-net,Open linked data from the Library and Museum of ARTIUM,9,13,70feb0b7-a04c-47d2-9cf9-4eff1692a07b,False,63a84077-6bd9-477c-902a-52171b0431b5,active,aliada-scanbit-net,dataset,http://biblioteca.artium.org,Thu Nov 12 10:11:50 CET 2015
14,Deutsche Nationalbibliothek (German National Library),j.hentschke@dnb.de,82115c09-2207-4d95-9dbf-6f0990746e48,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Deutsche Nationalbibliothek (German National Library),j.hentschke@dnb.de,2012-01-24T19:02:52.771586,2015-11-09T13:13:38.022025,deutsche-nationalbibliografie-dnb,"The Linked Data Service of the German National Library  (Deutsche Nationalbibliothek, DNB) has expanded and includes bibliographic data since January 2012. As a first step, the bibliographic data of the DNB’s main collection (apart 
from the printed music and the collection  of the Deutsches Exilarchiv) and the serials 
(magazines, newspapers and series of the German Union Catalogue of serials (ZDB)) have been converted. 
For more information see http://www.dnb.de/EN/lds.
From January 2014 on, the Linked Data Service of the German National Library (DNB) will issue scheduled releases and will be integrated in the export releases of the other formats. Changes to the conversion and to the data modelling will be made in January, May and September. Changes will be notified in advance via the Linked Data Service mailing list (http://lists.dnb.de/mailman/listinfo/lds). Please subscribe if you are interested in receiving information about future developments in DNB Linked Data Services. In a schedule corresponding to the export releases, updated dumps of the authority and bibliographic data in RDF/XML and Turtle will be available for download in February, June and October. 

**Documentation** of the data model and used vocabularies: [http://www.dnb.de/SharedDocs/Downloads/EN/DNB/service/linkedDataModellierungTiteldaten.pdf](http://www.dnb.de/SharedDocs/Downloads/EN/DNB/service/linkedDataModellierungTiteldaten.pdf)",7,7,a4720bbd-264e-42d5-86d7-2ced0b8d6f42,False,e03c08cc-4d02-49c7-926c-d0465418b952,active,Deutsche Nationalbibliografie (DNB),dataset,http://www.dnb.de/EN/datendienste/linkedData,2013-04-26
15,Deutsche Nationalbibliothek and German Library Networks,j.hentschke@dnb.de,619d4224-7388-4564-863f-f83bac46a2a7,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Deutsche Nationalbibliothek,j.hentschke@dnb.de,2010-09-08T10:41:11.582297,2015-11-09T13:11:08.479390,dnb-gemeinsame-normdatei,"GND stands for ""Gemeinsame Normdatei"" (Integrated Authority File) and offers a broad range of elements to describe authorities. The GND originates from the German library community and aims to solve the name ambiguity problem in the library world. Corresponding data is usually expressed in a customized MARC 21 Authority Format (GND MARC Format) which is quite domain specific and is not used beyond the library and publisher world. The GND ontology tries to bridge this gap by providing a format specification for the usage in the semantic web.

The need for name disambiguity and entries having an authoritative character is an issue that concerns a lot more communities than the library world. In a growing information society the unique identification and linking of persons, places and other authorities becomes more and more important. The GND Ontology aims to transfer the made experience from libraries to the web community by providing a vocabulary for the description of differentiated and undifferentiated persons, conferences or events, corporate bodies, places or geographic names, subject headings, and works.

To ensure compatibility aspects the GND ontology aligns a number of already established vocabularies like the FOAF vocabulary.

The GND is a young specification that probably will underlie certain smaller changes. However, the currently defined classes and properties have a status of stability. But we also expect the introduction of additional elements caused by newly upcoming requirements within the community. From January 2014 on, the Linked Data Service of the German National Library (DNB) will issue scheduled releases and will be integrated in the export releases of the other formats. Changes to the conversion and to the data modelling will be made in January, May and September. Changes will be notified in advance via the Linked Data Service mailing list (http://lists.dnb.de/mailman/listinfo/lds) and the Integrated
Authority File GND Ontology mailing list (http://lists.dnb.de/mailman/listinfo/gnd-ontology). Please subscribe if you are interested in receiving information about future developments in DNB Linked Data Services.
In a schedule corresponding to the export releases, updated dumps of the authority and bibliographic data in RDF/XML and Turtle will be available for download in February, June and October.

The authors welcome comments on this document, preferably via the public GND ontology list; publicarchives are available. 

The Integrated Authority File

The ""Gemeinsame Normdatei"" (GND, Integrated Authority File) brings together the content of the former Corporate Body Authority File GKD (Gemeinsame Körperschaftsdatei), the Name Authority File PND (Personennamendatei), the Subject Headings Authority File SWD (Schlagwortnormdatei) and the Uniform Title File of the Deutsches Musikarchiv EST file (Einheitssachtitel-Datei ) to form an integrated authority file.

The target has therefore been reached of setting up an authority file which covers all types of entities and which serves as a common, authoritative reference system for libraries' bibliographic data and for the cataloging data of other authority file users such as archives, museums, projects, scientific and cultural institutions. All library networks in the German-speaking countries and the German Union Catalogue of Serials (ZDB) are involved in the GND project alongside the German National Library.

The GND should consign to the past problems arising from different formats, parallel storage of data records and different rules for descriptive and subject cataloging.

The objective of the GND is to form a modern, web-compatible authority file which is capable of networking the wide range of resources and information held by libraries and other cultural institutions in the German-speaking countries and making these accessible to users. To approach a web-compatible authority file we also provide the GND as linked data. Therefore we developed an independent GND specific vocabulary (GND Ontology) that almost completely covers the offered GND concepts provided in MARC 21. ",6,21,a4720bbd-264e-42d5-86d7-2ced0b8d6f42,False,8a052431-697c-4855-b2df-e22003aabbbd,active,Gemeinsame Normdatei (GND),dataset,http://d-nb.info/standards/elementset/gnd#,2012-04-11
16,Peter Menke,pmenke@gmail.com,01a34833-4025-401b-a3ee-cfbbdd4598a0,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,Peter Menke,pmenke@gmail.com,2015-11-07T13:00:43.057654,2015-11-07T16:13:06.846387,mond,MOND is a small extension to the NIF format for natural language data that makes it easier to group data into modules of the same kind of information and to add provenance information to a corpus.,1,5,eada8cc1-e39f-4a0d-a480-4f4e427de81f,False,e8022705-93e2-43fc-80c5-6ba0048cb1c1,active,The MOND modular ontology for NIF data,dataset,,
17,Martin Nečaský,necasky@opendata.cz,8cbbf52a-4efc-49d1-a60e-0615e656e42f,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Martin Nečaský,necasky@opendata.cz,2015-07-29T13:40:32.646036,2015-11-02T18:10:33.233798,cz-sidc-drugs,Medicinal products marketed in Czech Republic according to the State Institute for Drug Control in Czech Republic,7,11,9046f134-ea81-462f-aae3-69854d34fc96,False,8afa593a-b3f7-46bb-bdf5-6539fc17a000,active,Medicinal products marketed in Czech Republic,dataset,http://linked.opendata.cz/resource/dataset/sukl/drugs,2015-11-02
18,Aliada Consortium,info@aliada-project.eu,44ecd901-b4bb-4af5-85f7-7cc4d80f304a,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2015-02-18T13:38:27.493199,2015-10-30T08:29:09.057524,datos-artium-org,Open linked data from the Library and Museum of ARTIUM,13,13,70feb0b7-a04c-47d2-9cf9-4eff1692a07b,False,8451b158-b3aa-4af4-984f-c449f7e4c9a5,active,datos-artium-org,dataset,http://biblioteca.artium.org,Fri Oct 30 08:56:53 CET 2015
19,Museum of Fine Arts Budapest,aliada@szepmuveszeti.hu,a9b036bc-b18f-4e0d-94e7-c79648ffe928,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2015-06-03T10:25:14.971662,2015-10-28T12:14:41.005912,data-szepmuveszeti-hu,Open linked data from the Museum of Fine Arts Budapest,9,13,5542eaf0-cd1e-47ef-bf1a-225b6f7d185b,False,514c8616-f723-487a-ac1e-43e9cdc6409c,active,data-szepmuveszeti-hu,dataset,http://www.szepmuveszeti.hu,Wed Oct 28 13:14:00 CET 2015
20,Christian Chiarcos,christian.chiarcos@web.de,9dd2816c-d8e5-44d1-b667-76cceee71107,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2012-08-09T06:24:37.568643,2015-10-18T17:03:48.897432,olia,"The Ontologies of Linguistic Annotations (OLiA) provide an OWL/DL taxonomy of data categories as a reference for linguistic annotation (OLiA Reference Model), plus OWL/DL models for a large number of annotation schemes (OLiA Annotation Models) and their relationship to reference data categories (OLiA Linking Models).
The OLiA Reference Model itself is linked to community-maintained repositories such as GOLD (http://linguistics-ontology.org/) and ISOcat (http://www.isocat.org)

The OLiA ontologies were originally developed as part of an infrastructure for the sustainable maintenance of linguistic resources (http://www.sfb441.uni-tuebingen.de/c2/index-engl.html), their fields of application include the formalization of annotation schemes, concept-based querying over heterogeneously annotated corpora, and the development of interoperable NLP pipelines.",4,9,01d1c654-ecfc-47b9-b7d0-d803adef7ca6,False,a75f9573-3ebe-4777-b560-14715cc6a114,active,OLiA,dataset,http://purl.org/olia,
21,GipuzkoaIrekia,megana@eurohelp.es,a9467664-dfda-4b0f-8166-3bbf19ab8ed3,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2015-10-15T10:24:49.470081,2015-10-16T11:17:02.866414,gipuzkoademografia,Gipuzkoako zenbait herriren populazioaren jatorria,5,4,12b324f1-ad6e-4aa8-80b0-8a9c280ca26b,False,836075aa-4eeb-4575-b661-5c1789e706d7,active,Gipuzkoa Demografia,dataset,http://datahub.io/dataset/GipuzkoaDemografia,2015-10-15
22,Magnus Knuth,"magnus.knuth""at""hpi.uni-potsdam.de",2a8ef906-e6a7-49a6-a4a7-9d64af2b1d01,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Magnus Knuth,"magnus.knuth""at""hpi.uni-potsdam.de",2014-09-05T08:45:36.958162,2015-09-22T10:28:40.382681,kore-50-nif-ner-corpus,"KORE 50[1] (AIDA) is a subset of the larger AIDA corpus, which is based
on the dataset of the CoNLL 2003 NER task. The dataset aims to capture hard to disambiguate mentions of entities and it contains a large number of first names referring to persons, whose identity needs to be deduced from the given context. It comprises 50 sentences from different domains, such as music, celebrities, and business and is provided in a clear TSV format.

The corpus was converted to NLP Interchange Format (NIF).

[1] J. Hoffart, S. Seufert, D. B. Nguyen, M. Theobald, and G. Weikum. KORE: Keyphrase overlap relatedness for entity disambiguation. In Proc. of the 21st ACM international conference on Information and knowledge management, pages 545{554. ACM, 2012",4,9,e959733d-c3fb-4bdc-80c1-16a3b7026df3,False,61bc5c0e-6fb6-45fe-a633-0d67afe3131c,active,KORE 50 NIF NER Corpus,dataset,,
23,Armando Stellato,stellato@info.uniroma2.it,0d0fd483-9c18-4494-ac02-763687293eb0,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Armando Stellato,stellato@info.uniroma2.it,2014-05-16T17:42:53.214309,2015-09-21T14:27:45.655223,lime,"LIME (LInguistic MEtadata) is a vocabulary for expressing linguistic metadata about linguistic resources and linguistically grounded datasets. 

The metadata vocabulary has been initially presented at the LDL conference and then contributed as the metadata module of the OntoLex suite of Ontology-Lexicon vocabularies. The last publication about it has been presented at ESWC2015

More info about its current status of development, its related scientific publications and software, and future evolutions, can be gathered here: http://art.uniroma2.it/lime/

The LIME section of the Final model specification of OntoLex contains the latest version of the vocabulary: https://www.w3.org/community/ontolex/wiki/Final_Model_Specification#Metadata_.28lime.29",2,10,edce5e72-e3a4-4d26-95ce-4606119ef0b4,False,19ff9e98-04af-4bc4-bc9a-3e5118f18955,active,Linguistic Metadata (LIME) vocabulary,dataset,,
24,Food and Agriculture Organization of the UN (FAO),Agrovoc@fao.org,ee604595-1ec1-4678-bf5d-0b285df52427,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,FAO ,caterina.caracciolo@fao.org,2010-09-07T08:57:40.040957,2015-09-20T14:06:40.484800,agrovoc-skos,"AGROVOC is a controlled vocabulary covering all areas of interest to the Food and Agriculture Organization of the UN (FAO). AGROVOC is available as and RDF - SKOS linked dataset. It consists of over 32,000+ concepts, available in up to 21 languages, and linked to 16 other vocabularies and resources.  For detailed information see: 

http://aims.fao.org/agrovoc",35,16,f474f1f0-60c5-4fa4-bf64-d4a100153228,False,057aecdd-2618-4988-b32a-98548af2c470,active,AGROVOC,dataset,http://aims.fao.org/standards/agrovoc/about,
25,Martin Nečaský,necasky@opendata.cz,b3b3e923-2374-4756-9635-5fe41b66020e,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Martin Nečaský,necasky@opendata.cz,2015-08-12T14:54:01.638875,2015-09-17T10:51:53.323878,cz-sao-check-actions,Inspections of the Supreme Audit Office of the Czech Republic,7,15,9046f134-ea81-462f-aae3-69854d34fc96,False,bb9e89bd-eede-4da6-a21d-172b0ca5baac,active,Inspections of the Supreme Audit Office of the Czech Republic,dataset,http://data.nku.cz/resource/dataset/check-actions,2015-09-17
26,Martin Nečaský,necasky@opendata.cz,aaf5786c-9f88-4a7e-b640-83894c0e1b26,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Martin Nečaský,necasky@opendata.cz,2015-09-17T10:32:04.371402,2015-09-17T10:32:12.493217,cz-sao-check-actions-law,List of laws used in inspection reports of the Supreme Audit Office of the Czech Republic,7,10,9046f134-ea81-462f-aae3-69854d34fc96,False,02d95e8c-b2bd-4673-bc05-e87e194b2cff,active,List of laws used in inspection reports of SAO,dataset,http://data.nku.cz/resource/dataset/check-actions-law,2015-09-17
27,"S.E. Wright, M. Kemps-Snijders, M.A. Windhouwer",isocat@mpi.nl,90975e69-60de-4ff6-9714-7e70200cd2ae,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2012-08-16T12:23:27.429105,2015-09-11T20:01:09.118587,isocat,"ISO 12620 provides a framework for defining data categories compliant with the ISO/IEC 11179 family of standards. According to this model, each data category is assigned a unique administrative identifier, together with information on the status or decision-making process associated with the data category. In addition, data category specifications in the DCR contain linguistic descriptions, such as data category definitions, statements of associated value domains, and examples. Data category specifications can be associated with a variety of data element names and with language-specific versions of definitions, names, value domains and other attributes.

The RDF dumps of different profiles are dynamically generated at query time over the https://catalog.clarin.eu/isocat/rest/profile/$x.rdf with $x being the profile number.

Triple counts on May 16, 2014:
3.rdf 2647
5.rdf 12358
6.rdf 4492
7.rdf 366
10.rdf 2629
11.rdf 712
13.rdf 58
14.rdf 572
15.rdf 131
16.rdf 76
17.rdf 149
19.rdf 383
20.rdf 561
22.rdf 6",4,5,01d1c654-ecfc-47b9-b7d0-d803adef7ca6,False,0dcc985e-1ea5-4e42-95d8-d4f44e5f70b3,active,ISOcat,dataset,http://www.isocat.org,
28,"Ismail El Maarouf, Jane Bradbury and Patrick Hanks ",elmaarouf.ismail@yahoo.fr,b0095428-520b-49b1-88a8-99d36d8b4e24,False,notspecified,License not specified,,,,2014-03-29T10:24:53.787062,2015-09-09T14:08:53.049789,pdev-lemon,"PDEV is a dictionary which provides insight
into how verbs collocate with nouns and other words
using an empirically well-founded apparatus of syntactic
and semantic categories. PDEV is a valuable resource for
NLP because it specifies in detail the contextual conditions
that determine meaning of a word. Thus the main motivation
for building a Semantic-Web-compliant resource is to
provide the Semantic Web and the NLP communities with
an easier access to PDEV.",2,6,01d1c654-ecfc-47b9-b7d0-d803adef7ca6,False,30bc9e86-f1ec-4b57-ac70-8a550ccbb28c,active,PDEV-Lemon,dataset,,
29,,,dc83d539-e0a1-4ee8-a31b-fec28642de9b,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,,,2012-08-09T11:21:36.041510,2015-09-09T14:03:41.359288,gold,GOLD is an ontology for descriptive linguistics.,2,4,01d1c654-ecfc-47b9-b7d0-d803adef7ca6,False,4dd39540-6d99-47d9-a81b-a3d2d22baaac,active,General Ontology of Linguistic Description,dataset,,
30,National RUSMARC Service,vskv3@mail.ru,396d2b9f-0ef4-4a41-8440-87f13c8caf79,True,other-pd,Other (Public Domain),,National RUSMARC Service,vskv3@mail.ru,2015-07-14T12:10:54.814730,2015-09-03T08:08:36.244678,nlr-dataset-mod,"Dataset includes initial set of interlinked authority records at work, subject heading and personal name level, which is supposed to be expanded in future to represent catalogue of the National Library of Russia.",7,13,256eb01b-203a-4186-a1ec-31bb782872b8,False,7b49d9ca-a9a0-41af-84a2-27cc90001895,active,National Library of Russia BibCore Dataset,dataset,,
31,ECLAP (Paolo Nesi),paolo.nesi@unifi.it,f426c1d3-3028-4566-bc6d-2f24494b6839,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Pierfrancesco Bellini,pierfrancesco.bellini@unifi.it,2013-04-04T15:17:48.685963,2015-09-01T14:05:34.375659,eclap,Information about performing arts related content,1,7,f9c0d92f-81ec-4513-80bb-b52f4c088224,False,d18cad7f-0e62-4882-9c70-618efe9d85d8,active,ECLAP,dataset,,
32,Fundación Biblioteca Virtual Miguel de Cervantes,gustavo.candela@cervantesvirtual.com,259e8c12-9fca-454f-8994-2721a6b8efaf,True,other-pd,Other (Public Domain),,Gustavo Candela,gustavo.candela@cervantesvirtual.com,2015-08-31T08:09:02.581770,2015-08-31T08:18:28.180360,biblioteca-virtual-miguel-de-cervantes-bvmc-linked-open-data,"The catalogue of the Biblioteca Virtual Miguel de Cervantes contains about 200,000 records which were originally created in compliance with the MARC21 standard. 

The database content has been later mapped to RDF triples which employ mainly the RDA vocabulary (Resource Description and Access) to describe the entities, as well as their properties and relationships. ",1,4,921bc8fe-e03d-4db6-a92d-4a38db2f88ae,False,7bac7273-43c5-49e9-b017-0ee9dc30e25d,active,Biblioteca Virtual Miguel de Cervantes (BVMC) - Linked Open Data,dataset,,
